Graph File,Graph Name,Version,Heuristic,Best Cost,Avg Cost,Worst Cost,Best Time (µs),Avg Time (µs),Worst Time (µs)
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Greedy,FI+2.5opt,126197.087,126197.087,126197.087,1246.400,1246.400,1246.400
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Greedy,MST,145830.135,154993.395,158047.935,169.034,194.043,273.687
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Greedy,MST+NSh,132424.695,138198.076,140863.286,1052.641,1970.063,4334.081
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Greedy,MST+2opt,123445.321,123967.264,128244.578,3210.788,4005.628,6270.647
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Greedy,MST+2.5opt,121765.711,125251.022,130972.246,4576.819,11817.717,17916.521
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 3,NN,198952.434,225647.604,267396.077,716.445,789.585,1152.124
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 3,NN+NSh,132579.136,143438.033,160070.855,1734.599,3762.742,7899.559
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 3,NN+2opt,119871.477,126970.201,133771.446,5798.419,7415.899,9938.086
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 3,NN+2.5opt,120106.704,125449.632,133643.541,12015.983,20729.651,33817.370
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 3,FI,127891.931,127891.931,127891.931,1001.315,1001.315,1001.315
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 3,FI+NSh,125997.762,125997.762,125997.762,948.633,948.633,948.633
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 3,FI+2opt,123795.129,123795.129,123795.129,347.751,347.751,347.751
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 3,FI+2.5opt,124196.692,124196.692,124196.692,1496.627,1496.627,1496.627
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 3,MST,145830.135,154993.395,158047.935,171.190,228.755,612.339
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 3,MST+NSh,132424.695,138198.076,140863.286,1031.206,1994.686,4524.000
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 3,MST+2opt,123445.321,123967.264,128244.578,3292.354,4224.469,6173.766
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 3,MST+2.5opt,121765.711,125251.022,130972.246,4991.627,11985.960,30695.176
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 5,NN,244336.853,275658.236,315418.334,716.421,777.774,2037.182
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 5,NN+NSh,135559.554,146334.659,157381.879,2511.431,4315.919,7043.978
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 5,NN+2opt,120552.879,126872.519,133537.669,7065.765,9064.295,13501.105
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 5,NN+2.5opt,120257.071,125726.398,133925.028,11993.089,24463.199,41407.743
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 5,FI,132163.717,132163.717,132163.717,889.698,889.698,889.698
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 5,FI+NSh,123364.684,123364.684,123364.684,1785.192,1785.192,1785.192
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 5,FI+2opt,124003.585,124003.585,124003.585,494.114,494.114,494.114
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 5,FI+2.5opt,123919.721,123919.721,123919.721,1071.031,1071.031,1071.031
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 5,MST,145830.135,154993.395,158047.935,170.303,214.163,572.367
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 5,MST+NSh,132424.695,138198.076,140863.286,1033.194,2025.213,5458.402
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 5,MST+2opt,123445.321,123967.264,128244.578,3153.745,3859.900,6101.003
bier127,127 Biergaerten in Augsburg (Juenger/Reinelt),Semi-Greedy 5,MST+2.5opt,121765.711,125251.022,130972.246,4419.161,11446.177,16448.273
ch130,130 city problem (Churritz),Greedy,NN,7198.741,7720.398,8644.386,329.312,370.884,912.706
ch130,130 city problem (Churritz),Greedy,NN+NSh,6672.522,7049.789,7830.797,1402.899,2293.846,5101.545
ch130,130 city problem (Churritz),Greedy,NN+2opt,6251.072,6422.023,6730.223,1826.783,2777.546,4557.488
ch130,130 city problem (Churritz),Greedy,NN+2.5opt,6291.330,6510.747,6889.959,2684.756,7030.224,13600.182
ch130,130 city problem (Churritz),Greedy,FI,6654.734,6654.734,6654.734,710.159,710.159,710.159
ch130,130 city problem (Churritz),Greedy,FI+NSh,6529.822,6529.822,6529.822,2001.691,2001.691,2001.691
ch130,130 city problem (Churritz),Greedy,FI+2opt,6634.223,6634.223,6634.223,1266.022,1266.022,1266.022
ch130,130 city problem (Churritz),Greedy,FI+2.5opt,6629.514,6629.514,6629.514,1190.457,1190.457,1190.457
ch130,130 city problem (Churritz),Greedy,MST,7926.438,8267.115,8484.356,192.410,218.222,434.891
ch130,130 city problem (Churritz),Greedy,MST+NSh,6442.811,6905.382,7200.103,1647.308,2190.215,4086.617
ch130,130 city problem (Churritz),Greedy,MST+2opt,6207.535,6314.761,6452.263,2518.627,3564.296,6154.455
ch130,130 city problem (Churritz),Greedy,MST+2.5opt,6193.193,6453.446,6759.188,4148.064,9910.910,20745.595
ch130,130 city problem (Churritz),Semi-Greedy 3,NN,10690.795,12765.861,14438.965,753.085,840.372,1613.370
ch130,130 city problem (Churritz),Semi-Greedy 3,NN+NSh,6746.854,7714.388,9462.625,2134.946,4282.823,16260.323
ch130,130 city problem (Churritz),Semi-Greedy 3,NN+2opt,6307.823,6616.798,7173.135,6458.499,8118.121,12868.879
ch130,130 city problem (Churritz),Semi-Greedy 3,NN+2.5opt,6237.311,6472.099,6854.800,11500.665,22645.366,62739.924
ch130,130 city problem (Churritz),Semi-Greedy 3,FI,6679.336,6679.336,6679.336,1255.316,1255.316,1255.316
ch130,130 city problem (Churritz),Semi-Greedy 3,FI+NSh,6493.141,6493.141,6493.141,1936.451,1936.451,1936.451
ch130,130 city problem (Churritz),Semi-Greedy 3,FI+2opt,6450.898,6450.898,6450.898,123.289,123.289,123.289
